Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
2021-01-04,125.7408676147461,129.82178288641367,123.1660010540864,129.73433819675842,143301900
2021-01-05,127.29547882080078,128.00479186519019,124.78862757117713,125.23559175221487,97664900
2021-01-06,123.010498046875,127.33433126965235,122.79673453932533,124.09874526118351,155088000
2021-01-07,127.20804595947266,127.89792197499627,124.2348079857969,124.72063157172194,109578200
2021-01-08,128.3060302734375,128.8695874924766,126.5376250523671,128.67524616951312,105158200
2021-01-11,125.3230209350586,126.47928319135579,124.85663454489163,125.52707332046941,100384500
2021-01-12,125.14815521240234,126.01292057820679,123.26315737935117,124.85665810373773,91951100
2021-01-13,127.17886352539062,127.72298342309901,124.84691687059603,125.10925086160563,88636800
2021-01-14,125.2550277709961,127.28576659581172,125.10927181431389,127.09144014639318,90221800
2021-01-15,123.53520965576172,126.52788445335536,123.39917965706009,125.12871028033413,111598500
2021-01-19,124.20565032958984,125.0607045202907,123.34088500532488,124.15706500945309,90757300
2021-01-20,128.2865447998047,128.7335089174472,124.90521758681017,125.01209934367105,104319500
2021-01-21,132.9893341064453,135.7099489572785,129.80233279797613,130.00638521290585,120150900
2021-01-22,135.12696838378906,135.88485193048166,131.19179469063414,132.4160646907934,114459400
2021-01-25,138.86776733398438,140.97623923925303,132.66865562808596,139.01352325855314,157611700
2021-01-26,139.1009979248047,140.20867499016745,137.36174136904043,139.52852500725305,98390600
2021-01-27,138.03219604492188,140.20869106595407,136.42898412808006,139.36334793740457,140843800
2021-01-28,133.20309448242188,137.96417406452278,132.82415271471342,135.5642045936499,142621100
2021-01-29,128.21853637695312,132.86300755142042,126.51815423658083,131.97880528014946,177523800
2021-02-01,130.33668518066406,131.5415324023742,127.21769281152132,129.95774356816557,106239800
2021-02-02,131.16262817382812,132.44519444855226,130.7933975854858,131.8816374338767,83305400
2021-02-03,130.1424102783203,131.92052618668296,129.82176496768204,131.9108002272906,89880900
2021-02-04,133.49459838867188,133.5043095225396,130.7739834636992,132.43550657690793,84183100
2021-02-05,133.08099365234375,133.72324245824956,132.20521062487953,133.65513325973174,75693800
2021-02-08,133.22695922851562,133.27561713779653,131.29048728628555,132.37062753976116,71297200
2021-02-09,132.35118103027344,134.1708861386868,132.19549648512387,132.94477197557092,76774200
2021-02-10,131.74786376953125,133.3048279995829,130.7844904817518,132.80853804149436,73046600
2021-02-11,131.494873046875,132.72097244544923,130.17145780866096,132.24414858851415,64280000
2021-02-12,131.7283935546875,131.88409294253404,130.09359452723146,130.7358433658653,60145100
2021-02-16,129.60707092285156,132.35120265140839,129.21782237561078,131.84520181246612,80576300
